application_id,user_id,offer_month,offer_number,current_lender,current_balance,current_monthly_payment,current_remaining_term_months,current_total_left_to_pay,offer_apr,offer_term_months,offer_monthly_payment,offer_total_payable,monthly_saving,total_cost_saving
A017574,U109116,2026-03,2,Lender E,3060.89,175.66,23,4040.24,21.1,28,139.37,3902.26,36.3,137.99
A017575,U112376,2026-03,1,,7898.15,313.79,37,11610.38,23.1,53,239.06,12670.29,74.73,-1059.92
A017576,U103512,2026-03,3,,6007.28,290.22,25,7255.58,9.4,16,400.94,6415.07,-110.72,840.52
A017577,U112469,2026-03,1,,4777.07,575.3,9,5177.69,15.8,32,183.9,5884.82,391.4,-707.13
A017578,U112695,2026-03,1,,2865.64,389.5,8,3116.03,21.0,38,103.88,3947.4,285.62,-831.38
A017579,U109390,2026-03,2,,2077.29,85.28,35,2984.93,11.4,35,70.04,2451.51,15.24,533.42
A017580,U107631,2026-03,2,,13563.42,495.01,52,25740.55,29.5,65,420.08,27305.38,74.93,-1564.83
A017581,U105069,2026-03,3,,6389.4,352.8,23,8114.41,22.2,49,199.43,9772.14,153.37,-1657.73
A017582,U111956,2026-03,1,,3250.75,143.26,32,4584.23,13.1,29,131.38,3809.99,11.88,774.24
A017583,U111246,2026-03,1,,7108.12,858.78,9,7728.98,17.2,33,271.85,8971.11,586.92,-1242.13
A017584,U112533,2026-03,1,,3272.03,289.75,13,3766.79,17.8,14,260.55,3647.65,29.21,119.14
A017585,U108888,2026-03,2,,13025.05,692.78,23,15933.85,19.0,41,434.3,17806.34,258.48,-1872.49
A017586,U107334,2026-03,2,,3192.68,487.79,7,3414.54,16.3,12,290.13,3481.54,197.66,-67.0
A017587,U105321,2026-03,3,,3142.52,558.03,6,3348.16,18.7,33,122.53,4043.39,435.5,-695.22
A017588,U111009,2026-03,1,,11293.42,475.26,30,14257.9,17.7,53,308.61,16356.12,166.66,-2098.21
A017589,U112863,2026-03,1,,7234.84,638.57,13,8301.45,22.5,31,309.86,9605.78,328.71,-1304.33
A017590,U111322,2026-03,1,,9297.94,559.34,22,12305.5,27.9,51,313.16,15971.19,246.18,-3665.69
A017591,U108837,2026-03,2,Lender B,11405.25,859.53,16,13752.47,21.9,12,1066.92,12803.02,-207.39,949.45
A017592,U103965,2026-03,3,,6878.79,358.84,23,8253.22,14.5,39,222.24,8667.17,136.6,-413.94
A017593,U100810,2026-03,4,,3409.16,340.95,11,3750.48,10.2,13,278.11,3615.44,62.84,135.04
A017594,U113051,2026-03,1,,6607.43,898.1,8,7184.77,17.0,12,602.63,7231.55,295.47,-46.78
A017595,U103960,2026-03,3,,8174.26,486.32,22,10698.99,24.6,12,775.33,9303.96,-289.01,1395.03
A017596,U109630,2026-03,2,,5285.64,376.83,17,6406.06,22.7,37,199.93,7397.3,176.9,-991.24
A017597,U100531,2026-03,4,,14439.52,907.4,20,18148.06,19.5,12,1334.15,16009.74,-426.74,2138.32
A017598,U110927,2026-03,1,,11316.0,576.78,25,14419.48,19.3,44,360.81,15875.42,215.97,-1455.94
A017599,U111169,2026-03,1,,2473.25,103.29,34,3511.75,16.6,40,80.92,3236.95,22.36,274.8
A017600,U105680,2026-03,3,,5888.11,456.82,15,6852.27,15.9,12,533.95,6407.46,-77.14,444.81
A017601,U102489,2026-03,4,,6325.99,466.83,16,7469.33,20.6,40,219.92,8796.63,246.92,-1327.3
A017602,U112186,2026-03,1,,7021.21,614.63,13,7990.14,14.3,12,631.41,7576.86,-16.78,413.28
A017603,U112357,2026-03,1,,4629.76,167.22,47,7859.2,27.0,73,129.73,9470.57,37.48,-1611.36
A017604,U100474,2026-03,4,,7052.7,266.8,36,9604.75,14.2,35,247.28,8654.79,19.52,949.96
A017605,U105923,2026-03,3,,28903.94,901.82,59,53207.55,25.6,74,780.23,57737.38,121.59,-4529.84
A017606,U104828,2026-03,3,,9088.55,937.92,11,10317.1,17.6,12,831.51,9978.11,106.41,338.99
A017607,U104732,2026-03,3,,13922.61,518.92,41,21275.86,21.5,55,400.11,22006.04,118.81,-730.18
A017608,U108992,2026-03,2,,4195.46,523.66,9,4712.96,27.3,34,178.54,6070.44,345.12,-1357.48
A017609,U102974,2026-03,4,,5382.72,970.43,6,5822.61,12.6,12,479.76,5757.12,490.67,65.48
A017610,U107641,2026-03,2,,4402.8,205.1,28,5742.9,21.4,46,141.08,6489.89,64.02,-747.0
A017611,U108195,2026-03,2,,10756.14,826.05,16,13216.77,28.9,33,476.16,15713.15,349.89,-2496.38
A017612,U101710,2026-03,4,,5008.39,774.1,7,5418.73,20.0,33,198.54,6551.92,575.56,-1133.19
A017613,U103592,2026-03,3,,22969.53,652.66,50,32632.92,14.9,74,476.33,35248.6,176.33,-2615.68
A017614,U106838,2026-03,2,,11552.89,449.87,33,14845.73,12.0,22,587.62,12927.7,-137.75,1918.03
A017615,U110444,2026-03,1,,3275.35,188.42,22,4145.25,20.6,12,304.35,3652.22,-115.93,493.03
A017616,U109466,2026-03,2,,19608.6,543.57,64,34788.2,16.3,70,435.85,30509.74,107.71,4278.46
A017617,U106542,2026-03,3,,4792.34,482.73,11,5310.07,15.4,12,433.45,5201.44,49.28,108.63
A017618,U111628,2026-03,1,,7828.54,311.46,34,10589.58,20.0,60,207.41,12444.51,104.05,-1854.93
A017619,U112947,2026-03,1,,11812.71,491.24,32,15719.59,13.8,22,610.79,13437.4,-119.55,2282.19
A017620,U111355,2026-03,1,,5149.8,714.92,8,5719.32,20.3,12,477.79,5733.47,237.13,-14.15
A017621,U105359,2026-03,3,,2250.43,193.44,13,2514.67,12.1,12,200.05,2400.64,-6.62,114.02
A017622,U101256,2026-03,4,,6532.51,610.15,12,7321.8,20.6,34,255.23,8677.69,354.92,-1355.89
A017623,U108846,2026-03,2,,7463.11,561.34,16,8981.41,22.4,28,344.66,9650.5,216.68,-669.09
A017624,U106941,2026-03,2,,1339.11,138.78,11,1526.58,15.9,15,99.03,1485.41,39.75,41.17
A017625,U111211,2026-03,1,,8595.09,707.06,14,9898.84,21.0,27,402.17,10858.62,304.89,-959.78
A017626,U105181,2026-03,3,,9513.01,639.2,18,11505.54,20.3,12,882.6,10591.19,-243.4,914.34
A017627,U112239,2026-03,1,,13053.63,603.69,27,16299.54,13.9,12,1171.43,14057.21,-567.75,2242.33
A017628,U106893,2026-03,2,,5528.62,280.42,25,7010.39,21.7,41,192.12,7876.73,88.3,-866.34
A017629,U105082,2026-03,3,,10359.57,375.94,40,15037.6,18.6,69,245.53,16941.41,130.41,-1903.81
A017630,U111855,2026-03,1,,2405.47,237.59,11,2613.47,12.2,30,93.43,2803.03,144.15,-189.57
A017631,U112208,2026-03,1,,19136.65,1134.62,22,24961.62,25.2,12,1820.69,21848.22,-686.07,3113.4
A017632,U105463,2026-03,3,,6229.23,307.94,25,7698.45,18.0,48,182.98,8783.22,124.95,-1084.77
A017633,U108540,2026-03,2,,16166.48,1024.83,20,20496.56,20.0,26,771.3,20053.69,253.53,442.87
A017634,U102944,2026-03,4,,7907.99,900.84,10,9008.35,24.8,37,307.86,11390.72,592.98,-2382.36
A017635,U110961,2026-03,1,,4932.77,562.88,10,5628.84,25.9,22,284.01,6248.29,278.87,-619.45
A017636,U109997,2026-03,1,,8375.83,294.67,40,11786.81,19.2,68,202.99,13803.32,91.68,-2016.51
A017637,U112112,2026-03,1,,7548.61,208.49,49,10215.93,8.9,51,178.31,9093.66,30.18,1122.27
A017638,U103511,2026-03,3,,4598.91,827.73,6,4966.39,25.7,22,264.33,5815.28,563.4,-848.89
A017639,U100610,2026-03,4,,15738.46,716.59,28,20064.61,16.5,19,946.9,17991.06,-230.3,2073.55
A017640,U100197,2026-03,4,,1078.67,163.16,7,1142.14,9.4,12,94.53,1134.38,68.63,7.76
A017641,U105282,2026-03,3,,11149.08,548.03,24,13152.65,11.8,12,989.54,11874.47,-441.51,1278.17
A017642,U107562,2026-03,2,,5008.62,321.43,19,6107.1,21.5,31,211.98,6571.27,109.45,-464.17
A017643,U109821,2026-03,2,,8652.47,590.34,17,10035.73,8.9,17,543.61,9241.4,46.73,794.33
A017644,U104690,2026-03,3,,7130.35,235.6,49,11544.57,16.2,49,199.86,9793.17,35.74,1751.4
A017645,U102601,2026-03,4,,7129.63,610.2,14,8542.74,23.4,12,672.11,8065.28,-61.91,477.46
A017646,U107871,2026-03,2,,1894.17,257.65,8,2061.16,21.0,31,79.69,2470.33,177.96,-409.16
A017647,U109935,2026-03,1,,13351.57,729.45,24,17506.8,25.8,49,443.42,21727.74,286.03,-4220.94
A017648,U109358,2026-03,2,,17141.78,1112.76,19,21142.35,13.2,19,1004.7,19089.22,108.06,2053.13
A017649,U103636,2026-03,3,,9945.66,520.18,26,13524.59,25.4,47,336.1,15796.57,184.08,-2271.98
A017650,U112636,2026-03,1,,10999.55,345.41,51,17616.14,19.9,77,253.99,19557.41,91.42,-1941.27
A017651,U112233,2026-03,1,,7740.87,354.36,29,10276.56,17.2,22,412.74,9080.27,-58.38,1196.29
A017652,U110104,2026-03,1,,2299.04,153.58,18,2764.36,21.1,46,73.3,3371.9,80.27,-607.54
A017653,U110407,2026-03,1,,7228.94,227.57,54,12289.05,13.6,58,170.74,9902.75,56.84,2386.3
A017654,U111739,2026-03,1,,3387.79,230.17,17,3912.81,8.9,14,255.66,3579.26,-25.5,333.55
A017655,U103999,2026-03,3,,7303.62,590.28,14,8263.92,19.3,32,293.78,9400.9,296.5,-1136.99
A017656,U108185,2026-03,2,,9448.15,532.72,22,11719.95,15.7,22,497.01,10934.28,35.71,785.66
A017657,U100908,2026-03,4,,7370.66,555.9,15,8338.47,14.8,36,254.79,9172.26,301.11,-833.8
A017658,U105812,2026-03,3,,7837.92,732.83,12,8793.97,17.0,12,714.86,8578.27,17.98,215.71
A017659,U112066,2026-03,1,,4253.32,307.22,17,5222.81,24.4,43,149.32,6420.78,157.9,-1197.97
A017660,U108294,2026-03,2,,3254.49,411.35,9,3702.19,26.4,12,311.54,3738.43,99.82,-36.24
A017661,U100347,2026-03,4,,7156.83,304.22,32,9735.0,21.6,61,194.25,11849.1,109.97,-2114.1
A017662,U109376,2026-03,2,,4303.76,196.15,30,5884.46,16.0,35,154.68,5413.91,41.47,470.54
A017663,U112310,2026-03,1,,13887.7,606.63,33,20018.93,19.0,25,677.02,16925.41,-70.38,3093.52
A017664,U105426,2026-03,3,,3860.43,204.57,23,4705.18,8.9,27,158.3,4274.09,46.27,431.09
A017665,U110745,2026-03,1,,2386.5,213.08,13,2769.99,21.8,31,101.36,3142.29,111.71,-372.3
A017666,U101603,2026-03,4,,10279.76,267.7,59,15794.13,16.7,71,228.84,16247.31,38.86,-453.18
A017667,U110269,2026-03,1,,11594.58,689.85,20,13796.93,18.5,39,397.79,15513.93,292.05,-1717.0
A017668,U110548,2026-03,1,,5726.12,322.09,21,6763.97,8.9,22,283.05,6227.14,39.04,536.83
A017669,U100523,2026-03,4,,2519.65,180.83,16,2893.26,16.9,45,75.98,3418.96,104.85,-525.7
A017670,U111347,2026-03,1,,15936.5,540.61,43,23246.44,20.5,68,398.05,27067.61,142.56,-3821.17
A017671,U106599,2026-03,3,,6600.66,221.99,44,9767.56,17.0,33,251.79,8309.15,-29.8,1458.41
A017672,U107384,2026-03,2,,15348.99,1045.69,18,18822.45,13.9,12,1377.42,16529.03,-331.73,2293.42
A017673,U111644,2026-03,1,,9518.04,748.16,15,11222.33,22.1,35,371.35,12997.36,376.8,-1775.03
A017674,U112321,2026-03,1,,7696.05,308.59,33,10183.44,10.4,31,284.17,8809.23,24.42,1374.21
A017675,U104422,2026-03,3,,1815.64,276.33,7,1934.31,16.7,37,63.12,2335.36,213.21,-401.05
A017676,U111725,2026-03,1,,5795.59,154.74,58,8974.76,10.4,57,129.28,7369.06,25.46,1605.7
A017677,U106888,2026-03,2,,13776.23,640.77,30,19223.09,14.4,31,534.8,16578.66,105.97,2644.43
A017678,U112914,2026-03,1,,7612.04,260.65,42,10947.5,11.6,40,230.36,9214.58,30.29,1732.92
A017679,U109696,2026-03,2,,5687.38,179.5,48,8615.81,11.9,43,163.11,7013.63,16.39,1602.18
A017680,U108009,2026-03,2,,6314.19,247.34,34,8409.51,18.6,62,159.23,9872.03,88.11,-1462.53
A017681,U107811,2026-03,2,,14672.98,695.0,26,18070.05,14.6,38,484.55,18412.85,210.45,-342.8
A017682,U112847,2026-03,1,,9892.54,502.17,26,13056.3,23.1,40,356.89,14275.58,145.28,-1219.28
A017683,U110904,2026-03,1,,4293.8,209.32,26,5442.22,8.9,30,160.17,4805.03,49.15,637.19
A017684,U108700,2026-03,2,,7961.03,241.88,52,12577.68,14.5,48,219.55,10538.35,22.33,2039.33
A017685,U110945,2026-03,1,,8535.96,297.63,49,14583.87,24.1,69,229.67,15847.56,67.96,-1263.69
A017686,U104190,2026-03,3,,7312.76,439.69,21,9233.39,18.2,12,671.13,8053.56,-231.45,1179.82
A017687,U111641,2026-03,1,,4322.3,251.82,23,5791.92,26.5,12,413.96,4967.54,-162.14,824.38
A017688,U103352,2026-03,3,,6965.95,215.26,51,10978.13,12.7,54,170.02,9180.86,45.24,1797.27
A017689,U111982,2026-03,1,,3438.65,423.8,9,3814.24,19.0,12,316.89,3802.73,106.91,11.51
A017690,U111002,2026-03,1,,10863.44,564.07,23,12973.62,13.6,36,369.18,13290.47,194.89,-316.85
A017691,U103342,2026-03,3,,26655.72,1273.55,30,38206.42,26.2,42,975.96,40990.23,297.59,-2783.81
A017692,U110336,2026-03,1,,2968.92,226.53,16,3624.51,21.1,12,276.59,3319.07,-50.06,305.44
A017693,U112783,2026-03,1,Lender A,15298.06,410.94,65,26711.21,10.5,62,320.75,19886.25,90.2,6824.96
A017694,U105428,2026-03,3,,2972.09,201.89,18,3634.1,17.0,19,179.52,3410.88,22.37,223.22
A017695,U112355,2026-03,1,,6902.82,256.04,40,10241.6,20.2,60,183.65,11019.09,72.39,-777.49
A017696,U103698,2026-03,3,,4394.98,368.38,14,5157.29,22.1,36,168.07,6050.65,200.3,-893.36
A017697,U103068,2026-03,4,,3084.18,184.52,21,3874.82,19.0,12,284.23,3410.73,-99.71,464.08
A017698,U100782,2026-03,4,,6423.36,232.36,37,8597.25,17.7,51,180.09,9184.54,52.27,-587.28
A017699,U109271,2026-03,2,,4032.53,128.97,49,6319.52,15.2,44,120.11,5284.95,8.86,1034.56
A017700,U108306,2026-03,2,,5790.19,397.63,18,7157.32,19.9,12,536.09,6433.14,-138.47,724.19
A017701,U102579,2026-03,4,,10109.56,420.12,39,16384.6,21.6,38,369.62,14045.43,50.5,2339.17
A017702,U106082,2026-03,3,,7148.68,278.91,35,9761.88,14.6,34,257.99,8771.71,20.92,990.17
A017703,U111044,2026-03,1,,9288.33,392.43,32,12557.89,20.7,46,294.17,13531.65,98.27,-973.76
A017704,U109490,2026-03,2,,9517.35,561.83,21,11798.36,15.1,25,446.08,11151.98,115.75,646.38
A017705,U108042,2026-03,2,,7426.8,417.29,22,9180.3,14.4,12,668.23,8018.75,-250.94,1161.55
A017706,U107155,2026-03,2,,18652.54,969.47,25,24236.72,23.0,51,576.39,29395.84,393.08,-5159.12
A017707,U110028,2026-03,1,,27173.15,731.48,58,42425.78,8.9,58,578.18,33534.48,153.3,8891.3
A017708,U112525,2026-03,1,,17243.21,741.15,31,22975.67,9.6,25,763.74,19093.62,-22.59,3882.05
A017709,U109949,2026-03,1,,1650.17,132.26,14,1851.7,11.3,12,146.08,1752.91,-13.81,98.78
A017710,U112603,2026-03,1,,3827.68,396.31,11,4359.45,20.4,12,355.31,4263.7,41.01,95.75
A017711,U101579,2026-03,4,,4280.17,390.17,12,4682.03,8.9,12,374.11,4489.31,16.06,192.72
A017712,U100461,2026-03,4,,8010.8,504.29,18,9077.18,11.9,12,711.37,8536.5,-207.09,540.68
A017713,U111768,2026-03,1,,2476.91,141.56,20,2831.17,11.4,14,189.79,2657.01,-48.23,174.16
A017714,U111496,2026-03,1,,3971.56,273.27,17,4645.51,12.6,12,353.98,4247.81,-80.72,397.71
A017715,U112294,2026-03,1,,6403.23,326.05,25,8151.35,20.2,50,190.44,9522.24,135.61,-1370.89
A017716,U100005,2026-03,4,,4837.64,154.49,50,7724.45,13.3,54,119.53,6454.83,34.96,1269.62
A017717,U112836,2026-03,1,,8748.19,426.02,27,11502.57,20.5,46,276.13,12701.95,149.89,-1199.38
A017718,U111372,2026-03,1,,10616.94,362.63,39,14142.68,15.6,68,236.13,16056.74,126.5,-1914.07
A017719,U110836,2026-03,1,,8456.84,368.96,33,12175.59,20.1,36,314.72,11329.84,54.24,845.76
A017720,U109252,2026-03,2,,12541.85,614.59,27,16593.97,19.9,13,1080.43,14045.61,-465.84,2548.36
A017721,U110815,2026-03,1,,9957.97,279.19,51,14238.56,8.9,46,256.29,11789.57,22.89,2448.99
A017722,U104030,2026-03,3,,6146.16,192.59,47,9051.67,16.3,71,135.46,9617.63,57.13,-565.96
A017723,U106274,2026-03,3,,3549.64,249.23,17,4236.97,22.5,30,155.78,4673.4,93.45,-436.43
A017724,U103637,2026-03,3,,10197.62,615.66,20,12313.15,12.7,21,544.12,11426.42,71.54,886.73
A017725,U105936,2026-03,3,,5295.42,538.0,11,5918.02,18.2,34,200.49,6816.77,337.51,-898.75
A017726,U113009,2026-03,1,,6821.9,680.3,11,7483.35,11.9,12,605.8,7269.58,74.51,213.77
A017727,U101282,2026-03,4,,8258.54,357.47,32,11438.9,22.2,54,243.14,13129.54,114.33,-1690.64
A017728,U108694,2026-03,2,,8934.18,546.82,20,10936.5,23.0,35,352.73,12345.66,194.09,-1409.17
A017729,U111729,2026-03,1,,10446.9,754.6,17,12828.13,20.4,12,969.74,11636.93,-215.15,1191.2
A017730,U102947,2026-03,4,,4360.4,442.8,11,4870.75,17.9,28,191.65,5366.18,251.15,-495.43
A017731,U113007,2026-03,1,,12555.53,585.06,29,16966.62,22.5,56,364.06,20387.28,221.0,-3420.66
A017732,U107537,2026-03,2,,5280.17,348.6,18,6274.73,15.1,12,476.83,5721.94,-128.23,552.79
A017733,U100064,2026-03,4,,5474.98,372.49,17,6332.38,16.3,44,166.12,7309.12,206.38,-976.74
A017734,U111782,2026-03,1,,4338.04,357.28,14,5001.93,19.9,34,167.95,5710.27,189.33,-708.34
A017735,U110472,2026-03,1,,18636.5,647.31,45,29129.11,10.9,48,480.77,23076.75,166.55,6052.36
A017736,U106614,2026-03,2,,9075.86,562.54,19,10688.33,9.5,19,516.39,9811.36,46.16,876.97
A017737,U109249,2026-03,2,,2609.24,200.42,15,3006.25,17.0,34,97.23,3305.97,103.18,-299.73
A017738,U111576,2026-03,1,,6365.41,703.7,10,7037.04,19.1,40,216.35,8654.17,487.35,-1617.13
A017739,U107664,2026-03,2,,9610.96,346.78,46,15951.89,19.3,35,361.25,12643.59,-14.47,3308.3
A017740,U103157,2026-03,4,,17610.67,656.39,41,26911.79,20.8,26,847.14,22025.66,-190.76,4886.13
A017741,U104361,2026-03,3,,5071.33,336.02,19,6384.4,16.5,19,305.11,5797.18,30.91,587.22
A017742,U104595,2026-03,3,,3706.7,448.73,9,4038.53,16.7,21,204.77,4300.24,243.95,-261.7
A017743,U109111,2026-03,2,,8585.64,698.01,14,9772.12,16.5,12,781.01,9372.18,-83.01,399.95
A017744,U111797,2026-03,1,,2873.38,288.88,11,3177.73,14.6,12,258.8,3105.65,30.08,72.08
A017745,U108444,2026-03,2,,15811.49,715.79,29,20758.03,18.1,59,406.58,23988.38,309.21,-3230.35
A017746,U109231,2026-03,2,,7044.36,245.02,43,10535.66,17.1,30,290.21,8706.37,-45.2,1829.29
A017747,U110980,2026-03,1,,5456.77,231.8,30,6954.14,8.9,24,249.04,5976.98,-17.24,977.16
A017748,U105389,2026-03,3,,14311.22,535.03,42,22471.4,25.2,67,399.9,26793.22,135.13,-4321.82
A017749,U102646,2026-03,4,,7712.96,579.14,15,8687.14,16.3,37,266.6,9864.02,312.55,-1176.88
A017750,U107673,2026-03,2,,18151.44,587.23,54,31710.32,24.4,74,476.52,35262.46,110.71,-3552.14
A017751,U112278,2026-03,1,,4567.06,340.37,16,5445.99,22.1,30,199.51,5985.19,140.87,-539.2
A017752,U110296,2026-03,1,,3559.0,153.49,32,4911.8,23.3,47,116.14,5458.75,37.35,-546.94
A017753,U101368,2026-03,4,,11577.78,621.77,22,13678.84,15.7,45,342.04,15391.95,279.72,-1713.11
A017754,U111555,2026-03,1,,2050.15,185.65,13,2413.5,26.7,30,94.4,2831.85,91.26,-418.35
A017755,U106148,2026-03,3,,5514.1,559.95,11,6159.48,17.6,12,504.48,6053.8,55.47,105.68
A017756,U109106,2026-03,2,,13677.72,1149.06,13,14937.76,11.9,32,500.93,16029.65,648.13,-1091.89
A017757,U100822,2026-03,4,,2429.38,325.35,8,2602.82,16.5,27,108.32,2924.65,217.03,-321.84
A017758,U103990,2026-03,3,,11734.43,525.13,33,17329.44,21.8,35,456.01,15960.49,69.12,1368.95
A017759,U110187,2026-03,1,,1127.89,126.11,10,1261.12,14.5,13,94.28,1225.58,31.84,35.54
A017760,U103271,2026-03,4,,4171.09,368.36,13,4788.65,10.3,12,367.29,4407.45,1.07,381.2
A017761,U102984,2026-03,4,,4088.02,511.66,9,4604.95,27.3,23,230.25,5295.69,281.41,-690.74
A017762,U105242,2026-03,3,,8629.64,642.31,16,10276.9,16.2,12,783.79,9405.5,-141.49,871.41
A017763,U106355,2026-03,3,,17960.55,686.67,40,27466.76,19.1,44,570.79,25114.81,115.88,2351.96
A017764,U101342,2026-03,4,,15255.83,592.23,41,24281.27,21.3,46,488.05,22450.11,104.18,1831.16
A017765,U106597,2026-03,3,,7888.82,470.89,19,8946.99,12.8,40,243.31,9732.46,227.58,-785.47
A017766,U112894,2026-03,1,,14543.85,636.35,32,20363.34,25.2,46,496.16,22823.28,140.2,-2459.95
A017767,U110505,2026-03,1,,5599.22,639.21,10,6392.09,27.6,29,266.71,7734.47,372.5,-1342.38
A017768,U103076,2026-03,4,,10512.6,404.66,33,13353.7,8.9,39,311.41,12144.85,93.25,1208.85
A017769,U111879,2026-03,1,,11153.79,441.08,31,13673.58,8.9,32,392.84,12570.79,48.25,1102.79
A017770,U103412,2026-03,3,,6851.07,760.05,10,7600.48,18.5,38,239.58,9103.9,520.47,-1503.42
A017771,U107033,2026-03,2,,14601.01,1076.5,17,18300.52,21.0,14,1184.95,16589.35,-108.45,1711.17
A017772,U108460,2026-03,2,,11506.14,451.89,34,15364.19,19.1,57,308.59,17589.58,143.3,-2225.39
A017773,U112706,2026-03,1,,27210.93,893.97,46,41122.56,18.0,72,620.62,44684.72,273.35,-3562.16
A017774,U102293,2026-03,4,,6218.17,217.91,44,9587.87,16.6,41,199.73,8189.12,18.17,1398.75
A017775,U107205,2026-03,2,,1975.21,131.65,17,2238.08,8.9,16,131.38,2102.03,0.27,136.05
A017776,U105502,2026-03,3,,26012.85,949.71,38,36088.85,20.2,57,713.35,40660.71,236.36,-4571.86
A017777,U109129,2026-03,2,,8714.06,824.42,12,9893.03,12.1,14,670.53,9387.38,153.89,505.66
A017778,U104051,2026-03,3,,5325.9,279.12,23,6419.75,18.1,50,152.45,7622.52,126.67,-1202.77
A017779,U107875,2026-03,2,,2654.58,220.05,14,3080.65,22.9,34,106.84,3632.64,113.2,-552.0
A017780,U110588,2026-03,1,,7531.25,325.25,31,10082.67,18.6,60,193.71,11622.66,131.54,-1539.99
A017781,U108896,2026-03,2,,13919.43,599.6,32,19187.18,21.7,60,382.07,22924.15,217.53,-3736.97
A017782,U102412,2026-03,4,,9197.49,465.48,26,12102.48,12.7,28,381.27,10675.69,84.21,1426.79
A017783,U111093,2026-03,1,,17240.02,908.54,23,20896.5,11.5,12,1527.73,18332.7,-619.18,2563.79
A017784,U106491,2026-03,3,,13799.97,1110.48,15,16657.18,22.0,12,1291.6,15499.19,-181.12,1157.99
A017785,U103801,2026-03,3,,8993.32,927.65,11,10204.18,18.9,12,828.36,9940.37,99.29,263.81
