user_id,why_not_taken_up,what_would_change_your_mind
U120506,The verification stuff took ages and I ran out of patience,Fewer documents
U118692,I didn't really understand how it works with paying off the old loan,A simple step by step of what happens and when
U114493,"No phone number to call, that put me off",A callback option
U108387,because the total to repay was HIGHER than what I owe now?? makes no sense,"Lower total cost, simple as that"
U114718,I uploaded a statement but apparently that wasn't the right document,less fussy document rules
U119881,"monthly saving yes but over 2 extra years, no thanks",Being upfront that the total cost goes up. And then making it not go up
U105561,because the total to repay was HIGHER than what I owe now?? makes no sense,cheaper overall not just monthly
U116553,Too much faff for what it saved,Fewer documents
U117281,Meant to come back to it and never did,"If you filled most of it in for me, you have my details already"
U103660,you kept saying the document wasnt right but not what the right one looks like,less fussy document rules
U118119,The overall amount was higher. Felt a bit misleading to call that a saving tbh,If it didn't add years onto my loan
U116346,I didn't really understand how it works with paying off the old loan,Plain English explanation
U113306,Wasn't sure if I'd be double paying during the switch over,Plain English explanation
U122075,"Connecting my bank and uploading documents, too much hassle","If you filled most of it in for me, you have my details already"
U113192,My loan finishes soon so switching seemed silly,An offer a year ago would have been good
U108515,Confusing. Do I end up with two loans?,Knowing for certain you pay off my old loan for me
U105642,Started the application but it was taking too long so I left it,A simpler application
U113748,£34 a month wasn't worth the effort,If it saved me £50 or more a month I'd have done it
U101028,The verification stuff took ages and I ran out of patience,Being able to do it all in one sitting
U115951,I sent what I thought was a settlement letter and heard nothing back,If someone had checked my document and told me what was wrong
U110771,no reason really,n/a
U109183,I did the maths and I'd be paying more back in total than if I just stayed put,A genuine saving over the whole loan
U109467,When I looked properly I'd end up paying more overall because it runs for longer,A genuine saving over the whole loan
U114684,Not enough in it for me,"A proper saving, not pocket change"
U115720,My loan finishes soon so switching seemed silly,An offer a year ago would have been good
U100727,"monthly saving yes but over 2 extra years, no thanks",Same term as my current loan with a lower rate
U119706,because the total to repay was HIGHER than what I owe now?? makes no sense,A genuine saving over the whole loan
U110137,the saving wouldnt even cover a takeaway,A better rate
U118020,Honestly the saving was so small I assumed there was a catch,More money off basically
U120650,My circumstances changed,Not sure
U111701,It felt like a full loan application. I thought it would be a couple of taps,Being able to save progress and finish later on my laptop
U110614,You asked for a settlement letter and I had no idea what that was or where to get one,If you got the settlement figure from my lender directly
U121175,Didn't want to do something this big without speaking to someone first,Live chat at least
U113688,"Started it on my lunch break, didn't finish, you know how it is","If you filled most of it in for me, you have my details already"
U111838,Just didn't fancy it,Not sure
U106298,It costs more over the life of the loan. The lower monthly figure is just window dressing,Same term as my current loan with a lower rate
U103736,Honestly the saving was so small I assumed there was a catch,More money off basically
U108750,Started the application but it was taking too long so I left it,make it quicker
U100739,The monthly payment was lower but the total I'd pay back was higher. No thanks,cheaper overall not just monthly
U112795,Wasn't sure if I'd be double paying during the switch over,An FAQ or a video explaining it
U118830,"monthly saving yes but over 2 extra years, no thanks",cheaper overall not just monthly
U121090,"Started it on my lunch break, didn't finish, you know how it is",Being able to do it all in one sitting
U116269,It felt like a full loan application. I thought it would be a couple of taps,If the whole thing took five minutes
U122733,Started the application but it was taking too long so I left it,Fewer steps
U122293,Lower monthly but a longer term. I worked out I'd pay about £600 more in the end,cheaper overall not just monthly
U120745,It rejected my document twice. No explanation of what was wrong with it,Telling me exactly what document you need with a picture of an example
U121000,Didn't want to do something this big without speaking to someone first,A phone call to walk me through it
U107581,My loan finishes soon so switching seemed silly,"Nothing, the timing was just wrong"
U122743,"I got halfway through and life got in the way, never went back",Fewer steps
U107143,It costs more over the life of the loan. The lower monthly figure is just window dressing,If it didn't add years onto my loan
U118874,Got stuck at the settlement quote bit. My lender's app doesn't have anything like that,someone doing the settlement bit for me
U105668,The total amount payable was more. I'm trying to get out of debt not extend it,cheaper overall not just monthly
U122715,Started the application but it was taking too long so I left it,Being able to do it all in one sitting
U121730,Didn't understand where the settlement money goes,understanding what im signing up for
U122423,You asked for a settlement letter and I had no idea what that was or where to get one,someone doing the settlement bit for me
U121739,didnt understand it and didnt have time to work it out,A clearer explanation of how it works
U118277,didnt have time to chase my bank for paperwork,Not having to chase my bank for paperwork
U119053,It said I'd save £145 a month but the total cost was more than my current loan,A genuine saving over the whole loan
U107905,I rang my bank twice and still couldn't get the right letter out of them,Not having to chase my bank for paperwork
U109098,The saving was tiny,A better rate
U122563,It said I'd save £334 a month but the total cost was more than my current loan,A genuine saving over the whole loan
U111101,What if the settlement figure changes while you're setting it up? Nobody explains that,An FAQ or a video explaining it
U121429,I wanted to talk it through with a person before moving my whole loan over,Live chat at least
U121793,"No phone number to call, that put me off",Live chat at least
U120093,It said I'd save £235 a month but the total cost was more than my current loan,If the total repayable was less than what I owe now
U107375,you kept saying the document wasnt right but not what the right one looks like,less fussy document rules
U120572,For £21 a month? No,If it saved me £50 or more a month I'd have done it
U115375,I didn't get how the switch actually happens so I left it,A clearer explanation of how it works
U116251,you kept saying the document wasnt right but not what the right one looks like,less fussy document rules
U118608,The total amount payable was more. I'm trying to get out of debt not extend it,If the total repayable was less than what I owe now
U113915,Nearly paid off my current loan anyway,An offer a year ago would have been good
U109684,didnt have time to chase my bank for paperwork,If you got the settlement figure from my lender directly
U122291,The monthly payment was lower but the total I'd pay back was higher. No thanks,"Lower total cost, simple as that"
U120221,"Waiting on my lender for the settlement figure, it never came",someone doing the settlement bit for me
U120339,Couldn't work out how to get the settlement document you wanted,If you could just look up what I owe like you did for the quote
U117598,I uploaded a screenshot of my balance but you needed some official letter,Telling me exactly what document you need with a picture of an example
U122134,Looked good until I saw the total cost line,"Lower total cost, simple as that"
U122298,I sent what I thought was a settlement letter and heard nothing back,Telling me exactly what document you need with a picture of an example
U113886,Paying it off over a longer period so it costs more in the end. That's not a saving,cheaper overall not just monthly
U116851,"I got halfway through and life got in the way, never went back",If the whole thing took five minutes
U120096,didnt have time to chase my bank for paperwork,Not having to chase my bank for paperwork
U121775,Meant to come back to it and never did,make it quicker
U109077,The monthly payment was lower but the total I'd pay back was higher. No thanks,Same term as my current loan with a lower rate
U121627,Too many hoops to jump through,Fewer steps
U119738,"Connecting my bank and uploading documents, too much hassle",If the whole thing took five minutes
U110503,"I'd save a few quid a month, not worth the paperwork",More money off basically
U115061,Total repayable went up. Why would I do that,Same term as my current loan with a lower rate
U110464,"Tried to find a contact number to ask about my situation, gave up",A callback option
U110767,Didn't want to do something this big without speaking to someone first,Live chat at least
U122092,Didn't understand where the settlement money goes,Knowing for certain you pay off my old loan for me
U100974,Stop emailing me,Dunno
U118510,The verification stuff took ages and I ran out of patience,Being able to save progress and finish later on my laptop
U111612,Confusing. Do I end up with two loans?,Knowing for certain you pay off my old loan for me
U111661,I didn't get how the switch actually happens so I left it,understanding what im signing up for
U111462,"No phone number to call, that put me off",If someone rang me I probably would have done it
U118687,"The ID checks and everything, couldn't be bothered in the end",make it quicker
U120499,I didn't know how to get a settlement figure from my lender,"Clear instructions on how to get a settlement letter, maybe with an example"
U115358,Couldn't work out how to get the settlement document you wanted,someone doing the settlement bit for me
U113026,"monthly saving yes but over 2 extra years, no thanks",Being upfront that the total cost goes up. And then making it not go up
U100147,Lower monthly but a longer term. I worked out I'd pay about £600 more in the end,"An offer that actually saves me money overall, not just per month"
U120653,"Started it on my lunch break, didn't finish, you know how it is",make it quicker
U121217,"Sent you my latest statement, got told it wasn't valid, couldn't be bothered after that",If someone had checked my document and told me what was wrong
U113181,Nearly paid off my current loan anyway,Getting to me earlier
U117865,Honestly the saving was so small I assumed there was a catch,A better rate
U116351,I sent what I thought was a settlement letter and heard nothing back,less fussy document rules
U102443,I didn't really understand how it works with paying off the old loan,An FAQ or a video explaining it
U104831,I uploaded a statement but apparently that wasn't the right document,Telling me exactly what document you need with a picture of an example
U110307,Looked good until I saw the total cost line,If it didn't add years onto my loan
U111990,"Bit late, I'm almost done paying it off","Nothing, the timing was just wrong"
U116837,"Stretching my loan out and charging me more for it, no thank you",If the total repayable was less than what I owe now
U110865,Too much faff for what it saved,make it quicker
U122102,Couldn't work out how to get the settlement document you wanted,If you could just look up what I owe like you did for the quote
U121353,because the total to repay was HIGHER than what I owe now?? makes no sense,A genuine saving over the whole loan
U120531,I uploaded a screenshot of my balance but you needed some official letter,less fussy document rules
U121811,Not enough in it for me,If it saved me £50 or more a month I'd have done it
U113603,"Started it on my lunch break, didn't finish, you know how it is",Being able to do it all in one sitting
U117817,Nearly paid off my current loan anyway,An offer a year ago would have been good
U122208,"Started it on my lunch break, didn't finish, you know how it is",make it quicker
U107969,"Connecting my bank and uploading documents, too much hassle",Fewer steps
U121550,Paying it off over a longer period so it costs more in the end. That's not a saving,If it didn't add years onto my loan
U122213,Couldn't work out how to get the settlement document you wanted,If you could just look up what I owe like you did for the quote
U112273,Too many hoops to jump through,Fewer steps
U118006,For £1 a month? No,"A proper saving, not pocket change"
U118507,didnt understand it and didnt have time to work it out,understanding what im signing up for
U107333,The overall amount was higher. Felt a bit misleading to call that a saving tbh,cheaper overall not just monthly
U111780,Meant to come back to it and never did,Fewer documents
U103728,you kept saying the document wasnt right but not what the right one looks like,If someone had checked my document and told me what was wrong
U113221,The verification stuff took ages and I ran out of patience,make it quicker
U116764,Honestly the saving was so small I assumed there was a catch,A better rate
U105965,Lower monthly but a longer term. I worked out I'd pay about £600 more in the end,cheaper overall not just monthly
U106968,I had questions and there was no one to ask,A callback option
U113142,I did the maths and I'd be paying more back in total than if I just stayed put,cheaper overall not just monthly
U120632,"No phone number to call, that put me off",A human to talk to
U121166,"Stretching my loan out and charging me more for it, no thank you","Lower total cost, simple as that"
U116799,Meant to come back to it and never did,make it quicker
U121945,Too much faff for what it saved,Fewer documents
U120276,Stop emailing me,n/a
U122068,Paying it off over a longer period so it costs more in the end. That's not a saving,Same term as my current loan with a lower rate
U117708,Too many hoops to jump through,A simpler application
U121588,The verification stuff took ages and I ran out of patience,"If you filled most of it in for me, you have my details already"
U101442,The monthly payment was lower but the total I'd pay back was higher. No thanks,Being upfront that the total cost goes up. And then making it not go up
U117696,The saving didn't seem worth switching for,A bigger saving
U115020,Didn't understand where the settlement money goes,Knowing for certain you pay off my old loan for me
U113793,I wanted to talk it through with a person before moving my whole loan over,A callback option
U115316,"Connecting my bank and uploading documents, too much hassle",If the whole thing took five minutes
U120974,My lender took ages to send the settlement letter so I gave up,Not having to chase my bank for paperwork
U117542,Wasn't clear what happens to my existing loan,Plain English explanation
U106139,It costs more over the life of the loan. The lower monthly figure is just window dressing,If it didn't add years onto my loan
U121547,"Started it on my lunch break, didn't finish, you know how it is",If the whole thing took five minutes
U104027,My loan finishes soon so switching seemed silly,"Nothing, the timing was just wrong"
U108978,Uploaded my loan agreement but that was wrong too. Not clear what you actually want,less fussy document rules
U107179,Confusing. Do I end up with two loans?,A clearer explanation of how it works
U120877,didnt have time to chase my bank for paperwork,If you got the settlement figure from my lender directly
U104330,"I've only got a few months left on my loan, not worth switching now","Nothing, the timing was just wrong"
U118406,I had questions and there was no one to ask,A phone call to walk me through it
U122523,Too many hoops to jump through,Being able to save progress and finish later on my laptop
U117401,Would have liked someone to call me,A human to talk to
U118377,The verification stuff took ages and I ran out of patience,Fewer steps
U115229,Would have liked someone to call me,Someone to answer my questions
U121534,I rang my bank twice and still couldn't get the right letter out of them,If my lender wasn't so useless. Not really your fault
U103880,I had questions and there was no one to ask,Someone to answer my questions
U120718,"monthly saving yes but over 2 extra years, no thanks",Being upfront that the total cost goes up. And then making it not go up
U115192,The amount saved was too small to bother with,Double the saving maybe
U106100,Paying it off over a longer period so it costs more in the end. That's not a saving,A genuine saving over the whole loan
U120751,because the total to repay was HIGHER than what I owe now?? makes no sense,"An offer that actually saves me money overall, not just per month"
U122752,Too much faff for what it saved,Fewer steps
U111631,I uploaded a screenshot of my balance but you needed some official letter,Accepting a normal statement instead of a special letter
U122420,Confusing. Do I end up with two loans?,understanding what im signing up for
U115605,It costs more over the life of the loan. The lower monthly figure is just window dressing,A genuine saving over the whole loan
U102750,Confusing. Do I end up with two loans?,Plain English explanation
U120953,Got stuck at the settlement quote bit. My lender's app doesn't have anything like that,"Clear instructions on how to get a settlement letter, maybe with an example"
U109425,I didn't get how the switch actually happens so I left it,A simple step by step of what happens and when
U122460,It said I'd save £34 a month but the total cost was more than my current loan,cheaper overall not just monthly
U107191,The saving was tiny,A bigger saving
U122573,"Connecting my bank and uploading documents, too much hassle","If you filled most of it in for me, you have my details already"
U120412,My current provider only sends settlement quotes by post apparently. Took too long,If you got the settlement figure from my lender directly
U119982,Wasn't clear what happens to my existing loan,A simple step by step of what happens and when
U110813,£19 a month wasn't worth the effort,Double the saving maybe
U106691,Would have liked someone to call me,A human to talk to
U112385,£12 a month wasn't worth the effort,Double the saving maybe
U109086,you kept saying the document wasnt right but not what the right one looks like,Accepting a normal statement instead of a special letter
U110728,"monthly saving yes but over 2 extra years, no thanks","Lower total cost, simple as that"
U119590,Looked good until I saw the total cost line,If the total repayable was less than what I owe now
U121745,The verification stuff took ages and I ran out of patience,A simpler application
U119941,"I'd save a few quid a month, not worth the paperwork",A better rate
U120566,Meant to come back to it and never did,Fewer documents
U116162,For £4 a month? No,A better rate
U102150,"I'd save a few quid a month, not worth the paperwork",A bigger saving
U101125,Honestly the saving was so small I assumed there was a catch,"A proper saving, not pocket change"
U120012,The total amount payable was more. I'm trying to get out of debt not extend it,cheaper overall not just monthly
U108806,Didn't want to do something this big without speaking to someone first,Someone to answer my questions
U118046,It said I'd save £106 a month but the total cost was more than my current loan,If it didn't add years onto my loan
U113261,Didn't understand where the settlement money goes,A clearer explanation of how it works
U112867,My lender took ages to send the settlement letter so I gave up,someone doing the settlement bit for me
U118676,I had questions and there was no one to ask,A phone call to walk me through it
U121725,I sent what I thought was a settlement letter and heard nothing back,less fussy document rules
U114015,"monthly saving yes but over 2 extra years, no thanks",A genuine saving over the whole loan
U117259,"Less than a year left, no point","Nothing really, I'm nearly done with my loan"
U114338,I had questions and there was no one to ask,A callback option
U120901,I was on holiday,Dunno
U115991,The overall amount was higher. Felt a bit misleading to call that a saving tbh,"Lower total cost, simple as that"
U112000,I didn't get how the switch actually happens so I left it,An FAQ or a video explaining it
U106344,It said I'd save £94 a month but the total cost was more than my current loan,Same term as my current loan with a lower rate
U112818,Not enough in it for me,More money off basically
U120636,For £16 a month? No,If it saved me £50 or more a month I'd have done it
U110077,Don't remember seeing it,Nothing
U119680,"It's a big decision, I wanted a human not an app",A callback option
U114393,Honestly the saving was so small I assumed there was a catch,More money off basically
U120466,Would have liked someone to call me,If someone rang me I probably would have done it
U113209,For £29 a month? No,If it saved me £50 or more a month I'd have done it
U119598,When I looked properly I'd end up paying more overall because it runs for longer,Same term as my current loan with a lower rate
U114735,didnt understand it and didnt have time to work it out,Knowing for certain you pay off my old loan for me
U102834,Paying it off over a longer period so it costs more in the end. That's not a saving,"Lower total cost, simple as that"
U121245,It said I'd save £254 a month but the total cost was more than my current loan,"An offer that actually saves me money overall, not just per month"
U110947,My loan finishes soon so switching seemed silly,"Nothing really, I'm nearly done with my loan"
U108983,I had questions and there was no one to ask,Someone to answer my questions
U104219,"I'd save a few quid a month, not worth the paperwork",If it saved me £50 or more a month I'd have done it
U105664,The saving was tiny,"A proper saving, not pocket change"
U122305,You asked for a settlement letter and I had no idea what that was or where to get one,someone doing the settlement bit for me
U110934,"Stretching my loan out and charging me more for it, no thank you",Being upfront that the total cost goes up. And then making it not go up
U120286,The saving didn't seem worth switching for,Double the saving maybe
U121259,Meant to come back to it and never did,Fewer documents
U119523,"Connecting my bank and uploading documents, too much hassle",Fewer steps
U110843,you kept saying the document wasnt right but not what the right one looks like,Accepting a normal statement instead of a special letter
U122446,The verification stuff took ages and I ran out of patience,A simpler application
U109717,"Stretching my loan out and charging me more for it, no thank you",cheaper overall not just monthly
U117439,The saving didn't seem worth switching for,A bigger saving
U121328,"monthly saving yes but over 2 extra years, no thanks",Being upfront that the total cost goes up. And then making it not go up
U117270,Meant to come back to it and never did,Fewer documents
U106855,The amount saved was too small to bother with,"A proper saving, not pocket change"
U110756,The total amount payable was more. I'm trying to get out of debt not extend it,A genuine saving over the whole loan
U116348,"I'd save a few quid a month, not worth the paperwork",A better rate
U122101,Looked good until I saw the total cost line,Same term as my current loan with a lower rate
U116894,The total amount payable was more. I'm trying to get out of debt not extend it,If the total repayable was less than what I owe now
U111695,didnt understand it and didnt have time to work it out,A simple step by step of what happens and when
U110951,the saving wouldnt even cover a takeaway,"A proper saving, not pocket change"
U108725,Just didn't fancy it,Nothing
U114991,My lender took ages to send the settlement letter so I gave up,If my lender wasn't so useless. Not really your fault
U118915,"Sent you my latest statement, got told it wasn't valid, couldn't be bothered after that",Telling me exactly what document you need with a picture of an example
U120347,"Sent you my latest statement, got told it wasn't valid, couldn't be bothered after that",less fussy document rules
U119899,The verification stuff took ages and I ran out of patience,A simpler application
U110765,Nearly paid off my current loan anyway,"Nothing, the timing was just wrong"
U107301,It said I'd save £100 a month but the total cost was more than my current loan,"Lower total cost, simple as that"
U110946,"No phone number to call, that put me off",Someone to answer my questions
U102111,The saving was tiny,More money off basically
U118596,It rejected my document twice. No explanation of what was wrong with it,less fussy document rules
U117856,Not enough in it for me,Double the saving maybe
U105949,Changed jobs so it wasn't the right time,Dunno
U122889,You asked for a settlement letter and I had no idea what that was or where to get one,Not having to chase my bank for paperwork
U110888,The amount saved was too small to bother with,A bigger saving
U106183,The settlement quote bit. I uploaded something and it never went through,Telling me exactly what document you need with a picture of an example
U104528,"Less than a year left, no point","Nothing, the timing was just wrong"
U120385,My lender took ages to send the settlement letter so I gave up,If you could just look up what I owe like you did for the quote
U102381,When I looked properly I'd end up paying more overall because it runs for longer,"Lower total cost, simple as that"
U113808,"I got halfway through and life got in the way, never went back",Being able to do it all in one sitting
U112049,"No phone number to call, that put me off",A human to talk to
U121519,The saving didn't seem worth switching for,If it saved me £50 or more a month I'd have done it
U109271,£11 a month wasn't worth the effort,Double the saving maybe
